"subject","location","age","sex","condition","rating","cell","frequency","duration","effect","condition_simple","freq_A","freq_B","freq_C","freq_D","dur_A","dur_B","dur_C","dur_D"
247,"nz",20,"female","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
249,"nz",25,"female","fewA",5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
250,"nz",18,"female","fewA",-3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
251,"nz",29,"female","fewA",0,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
1,"mt",NA,"","fewA",-7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
2,"mt",NA,"","fewA",9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
3,"mt",NA,"","fewA",10,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
4,"mt",NA,"","fewA",5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
5,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
6,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
7,"mt",NA,"","fewA",-1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
8,"mt",NA,"","fewA",-7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
9,"mt",NA,"","fewA",4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
10,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
11,"mt",NA,"","fewA",-7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
12,"mt",NA,"","fewA",-3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
13,"mt",NA,"","fewA",-6,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
14,"mt",NA,"","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
15,"mt",NA,"","fewA",-3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
16,"mt",NA,"","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
17,"mt",NA,"","fewA",-8,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
18,"mt",NA,"","fewA",5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
19,"mt",NA,"","fewA",-1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
20,"mt",NA,"","fewA",-5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
21,"mt",NA,"","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
22,"mt",NA,"","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
23,"mt",NA,"","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
24,"mt",NA,"","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
25,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
26,"mt",NA,"","fewA",-6,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
27,"mt",NA,"","fewA",5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
28,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
29,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
30,"mt",NA,"","fewA",-1,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
31,"mt",NA,"","fewA",-5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
32,"mt",NA,"","fewA",-9,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
33,"mt",NA,"","fewA",4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
34,"mt",NA,"","fewA",-6,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
35,"mt",NA,"","fewA",-2,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
36,"mt",NA,"","fewA",-7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
37,"mt",NA,"","fewA",-8,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
38,"mt",NA,"","fewA",-5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
39,"mt",NA,"","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
40,"mt",NA,"","fewA",-4,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
41,"mt",NA,"","fewA",5,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
42,"mt",NA,"","fewA",7,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
43,"mt",NA,"","fewA",-3,"A",9,800,"frequency","few","9","36","36","36","800","800","800","800"
1,"nz",24,"female","fewB",3,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
2,"nz",21,"female","fewB",9,"B",9,800,"frequency","few","36","9","36","36","800","800","800","800"
